startstationname,num_start,num_end,diff
E 19 St & 3 Ave,3506,3499,-7
Frederick Douglass Blvd & W 117 St,3497,3486,-11
E 10 St & 5 Ave,3472,3527,55
3 St & Prospect Park West,3460,3492,32
Washington St & Gansevoort St,3446,3554,108
Broadway & W 49 St,3435,3343,-92
E 39 St & 3 Ave,3432,3388,-44
W 11 St & 6 Ave,3430,3382,-48
5 Ave & E 103 St,3427,3406,-21
Central Park West & W 76 St,3416,3422,6
E 88 St & 1 Ave,3408,3445,37
Mercer St & Bleecker St,3408,3446,38
W 13 St & 7 Ave,3401,3425,24
Center Blvd & 51 Ave,3397,3409,12
W 56 St & 10 Ave,3390,3405,15
Greenwich Ave & Charles St,3368,3455,87
Riverside Dr & W 104 St,3362,3381,19
E 2 St & 2 Ave,3356,3383,27
5 Ave & E 29 St,3350,3351,1
W 25 St & 6 Ave,3348,3357,9
W 15 St & 6 Ave,3338,3260,-78
North Moore St & Greenwich St,3311,3331,20
W 63 St & Broadway,3307,3098,-209
South St & Whitehall St,3289,3361,72
Metropolitan Ave & Bedford Ave,3280,3422,142
Amsterdam Ave & W 79 St,3279,3269,-10
W 76 St & Columbus Ave,3246,2295,-951
W 106 St & Central Park West,3243,3007,-236
Liberty St & Broadway,3242,3260,18
E 33 St & 5 Ave,3198,3181,-17
Pearl St & Hanover Square,3184,3199,15
W 55 St & 6 Ave,3178,3184,6
Broadway & Battery Pl,3176,3311,135
Great Jones St,3164,3219,55
E 16 St & 5 Ave,3120,3134,14
E 2 St & Avenue C,3115,3176,61
Gansevoort St & Hudson St,3115,3205,90
W 64 St & Thelonious Monk Circle,3107,2995,-112
Astoria Park S & Shore Blvd,3102,3106,4
MacDougal St & Washington Sq,3097,3205,108
Kent Ave & S 11 St,3091,3110,19
W 42 St & Dyer Ave,3081,3062,-19
Greenwich St & W Houston St,3077,3185,108
Lexington Ave & E 26 St,3075,3009,-66
E 102 St & 1 Ave,3052,3148,96
Rivington St & Ridge St,3047,2965,-82
E 11 St & Avenue B,3012,2965,-47
Cliff St & Fulton St,3011,3057,46
Lexington Ave & E 36 St,3002,2999,-3
E 51 St & 2 Ave,2986,2889,-97
Broadway & W 29 St,2984,2969,-15
Stanton St & Norfolk St,2983,3027,44
W 20 St & 7 Ave,2973,2917,-56
1 Ave & E 44 St,2970,2909,-61
46 Ave & 5 St,2952,2968,16
W 89 St & Columbus Ave,2949,2640,-309
Fulton St & Broadway,2943,2946,3
Stanton St & Chrystie St,2934,3068,134
E 12 St & 3 Ave,2932,2937,5
2 Ave & E 96 St,2931,2921,-10
W 42 St & 8 Ave,2926,2938,12
E 91 St & 2 Ave,2920,2902,-18
Bond St & Fulton St,2920,3003,83
E 20 St & Park Ave,2915,2935,20
Riverside Dr & W 91 St,2891,2910,19
W Broadway & W Houston St,2887,3108,221
Front St & Washington St,2872,2937,65
Amsterdam Ave & W 82 St,2870,2689,-181
Frederick Douglass Blvd & W 112 St,2865,2872,7
Brooklyn Bridge Park - Pier 2,2862,2949,87
E 97 St & Madison Ave,2856,2815,-41
W 15 St & 10 Ave,2848,2991,143
W 95 St & Broadway,2847,2855,8
Pike St & Monroe St,2834,2865,31
E 81 St & York Ave,2834,2645,-189
W 18 St & 6 Ave,2831,2874,43
Bedford Ave & Nassau Ave,2817,2933,116
E 51 St & 1 Ave,2810,2800,-10
Forsyth St & Broome St,2808,2849,41
Milton St & Franklin St,2801,2882,81
W 82 St & Central Park West,2786,2651,-135
W 100 St & Broadway,2785,2674,-111
Pearl St & Peck Slip,2779,2790,11
S 3 St & Bedford Ave,2771,2781,10
1 Ave & E 94 St,2769,2788,19
W 34 St & 11 Ave,2768,2791,23
Riverside Dr & W 82 St,2760,2705,-55
E 9 St & Avenue C,2746,2765,19
