startstationname,num_start,num_end,diff
Adam Clayton Powell Blvd & W 130 St,899,882,-17
McKibbin St & Bogart St,899,935,36
Adam Clayton Powell Blvd & W 115 St,898,906,8
Irving Ave & Jefferson St,897,921,24
Leonard St & Boerum St,893,903,10
Stuyvesant Walk & 1 Av Loop,892,908,16
Degraw St & Smith St,892,892,0
47 Ave & 31 St,885,899,14
Pierrepont St & Monroe Pl,883,886,3
E 67 St & Park Ave,866,775,-91
E 149 St & Morris Ave,865,881,16
Lefferts Pl & Franklin Ave,863,857,-6
Newtown Ave & 23 St,862,875,13
Halsey St & Broadway,858,852,-6
Prospect Pl & Underhill Ave,856,856,0
Evergreen Ave & Noll St,856,828,-28
Central Ave & Starr Street,855,846,-9
Kane St & Clinton St,854,936,82
44 Dr & 21 St,852,851,-1
31 St & Thomson Ave,849,847,-2
Broadway & Kosciuszko St,848,820,-28
Crescent St & 34 Ave,847,853,6
E 132 St & Madison Ave,845,853,8
21 St & Queens Plaza North,837,827,-10
Pleasant Ave & E 120 St,835,836,1
Willow Ave & E 133 St,835,831,-4
Morris Ave & E 153 St,833,845,12
Carroll St & Bond St,830,857,27
E 115 St & Madison Ave,820,804,-16
40 Ave & 9 St,820,827,7
Beaver St & Fayette St,817,811,-6
Pulaski St & Marcus Garvey Blvd,817,823,6
Lorimer St & Calyer St,816,832,16
Broadway & Madison St,815,811,-4
Laight St & Hudson St,814,813,-1
Myrtle Ave & Marcy Ave,809,792,-17
35 St & 34 Ave,809,812,3
Putnam Ave & Nostrand Ave,809,809,0
Bedford Ave & S 9 St,808,835,27
Carlton Ave & Park Ave,808,825,17
Albany Ave & Fulton St,804,802,-2
Clinton St & 4 Place,802,802,0
Nostrand Ave & Myrtle Ave,801,807,6
E 97 St & 3 Ave,797,797,0
E 118 St & Madison Ave,787,794,7
31 Ave & Crescent St,786,787,1
10 St & 7 Ave,783,765,-18
W 145 St & Amsterdam Ave,782,793,11
E 138 St & 5 Av,779,779,0
Richardson St & N Henry St,779,787,8
38 Ave & 29 St,778,779,1
Knickerbocker Ave & George St,775,798,23
Tompkins Ave & Hopkins St,775,778,3
St Nicholas Ave & E 134 St,775,790,15
Park Ave & Marcus Garvey Blvd,773,794,21
Irving Ave & DeKalb Ave,768,701,-67
Lincoln Pl & Classon Ave,767,759,-8
12 St & 4 Ave,763,769,6
Clinton Ave & Flushing Ave,758,783,25
Stockholm St & Wilson Ave,756,761,5
Wilson Ave & Troutman St,754,706,-48
Irving Ave & Harman St,752,752,0
Clermont Ave & Park Ave,748,755,7
Warren St & Court St,747,753,6
3 St & 3 Ave,746,765,19
Jackson St & Leonard St,744,756,12
24 St & 41 Ave,742,746,4
Wyckoff St & Nevins St,741,744,3
Crescent St & Ditmars Blvd,737,746,9
Union Ave & Wallabout St,736,767,31
Van Sinderen Ave & Truxton St,735,683,-52
2 Ave & E 122 St,732,737,5
6 Ave & 12 St,730,713,-17
Carlton Ave & Flushing Ave,726,735,9
31 St & Astoria Blvd,721,709,-12
Wyckoff Av & Jefferson St,720,728,8
Bushwick Ave & Dekalb Ave,717,610,-107
Prospect Pl & 6 Ave,716,705,-11
Frost St & Meeker Ave,715,757,42
Carroll St & 6 Ave,714,722,8
Knickerbocker Ave & Thames St,713,726,13
Humboldt St & Varet St,711,728,17
Greene Av & Myrtle Av,698,661,-37
Smith St & 3 St,695,694,-1
5 Ave & W 131 St,693,672,-21
Broadway & Hancock St,688,694,6
Lexington Ave & E 120 St,686,698,12
Jackson Ave & 46 Rd,679,674,-5
5 St & 51 Ave,677,646,-31
Clinton St & Union St,674,677,3
Rockaway Ave & Bainbridge St,672,677,5
Wyckoff Av & Stanhope St,670,674,4
34 St & 35 Ave,670,675,5
1 Pl & Clinton St,664,670,6
4 Ave & 9 St,664,735,71
Carroll St & Columbia St,663,666,3
Bushwick Ave & Linden St,661,641,-20
Powers St & Olive St,660,661,1
George St & Wilson Ave,659,676,17
10 St & 5 Ave,658,675,17
Willoughby Ave & Wyckoff Ave,658,656,-2
Myrtle Ave & Lewis Ave,655,608,-47
Smith St & 9 St,651,658,7
6 Ave & 9 St,648,667,19
31 St & Northern Blvd,645,604,-41
W 144 St & Adam Clayton Powell Blvd,644,642,-2
Forest Ave & Summerfield St,638,649,11
35 Ave & 37 St,637,631,-6
Bushwick Ave & Harman St,637,638,1
White St & Moore St,637,655,18
E 149 St & Jackson Ave,627,645,18
Throop Ave & Myrtle Ave,627,634,7
Douglass St & 4 Ave,626,645,19
Broadway & 12 St,622,629,7
Broadway & W 122 St,621,592,-29
5 Av & W 139 St,618,623,5
Butler St & Court St,617,626,9
Calyer St & Jewel St,616,645,29
3 Ave & 14 St,615,647,32
Degraw St & Hoyt St,615,612,-3
Amsterdam Ave & W 136 St,610,564,-46
Bushwick Ave & Forrest St,608,585,-23
Melrose Ave & E 150 St,605,624,19
Central Ave & Melrose St,603,614,11
E 118 St & Park Ave,602,613,11
28 St & 36 Ave,599,590,-9
Manhattan Av & Leonard St,599,609,10
Graham Ave & Herbert St,589,604,15
Van Brunt St & Wolcott St,573,579,6
Marcus Garvey Blvd & Macon St,572,597,25
37 Ave & 35 St,571,574,3
Engert Ave & McGuinness Blvd,570,575,5
Hoyt St & Warren St,569,569,0
E 123 St & Lexington Ave,569,577,8
W 116 St & Amsterdam Ave,568,522,-46
Bedford Ave & Montgomery St,563,568,5
5 Ave & E 135 St,563,537,-26
Court St & Nelson St,561,613,52
7 St & 5 Ave,560,568,8
Kent St & McGuinness Blvd,560,567,7
Columbus Ave & W 103 St,557,561,4
Amsterdam Ave & W 119 St,556,515,-41
Willoughby St & Ashland Pl,555,561,6
Motorgate,554,570,16
President St & Henry St,554,579,25
Berkeley Pl & 6 Ave,547,538,-9
Cedar St & Myrtle Ave,540,527,-13
Van Buren St & Broadway,534,534,0
24 Ave & 29 St,527,543,16
Dock 72 Way & Market St,526,533,7
Crescent St & 35 Ave,522,505,-17
Central Ave & Himrod St,518,497,-21
30 Ave & 21 St,515,518,3
Central Ave & Weirfield St,512,505,-7
Amsterdam Ave & W 131 St,510,505,-5
Morgan Ave & Lombardy St,509,535,26
E 128 St & Madison Ave,507,509,2
Lenox Ave & W 133 St,504,509,5
21 St & 36 Ave,503,508,5
35 Ave & 10 St,492,503,11
Willis Ave & E 137 St,491,501,10
24 Ave & 26 St,486,478,-8
11 St & 43 Ave,483,477,-6
Lincoln Ave & E 138 St,482,488,6
27 Ave & 9 St,481,492,11
31 Ave & 14 St,481,492,11
40 Ave & Crescent St,475,481,6
Carroll St & Franklin Ave,473,463,-10
5 St & 6 Ave,472,460,-12
Irving Ave & Halsey St,471,482,11
23 Ave & 27 St,467,469,2
7 St & 3 Ave,464,500,36
Edgecombe Ave & W 141 St,464,474,10
31 St & Hoyt Ave N,463,452,-11
Jefferson St & Cypress Ave,463,475,12
Willis Ave & Bruckner Blvd,462,466,4
Sullivan Pl & Bedford Ave,462,462,0
Devoe St & Morgan Ave,457,459,2
W 129 St & Convent Ave,456,459,3
37 St & 24 Ave,452,450,-2
Putnam Ave & Wyckoff Ave,450,438,-12
Roosevelt Island Tramway,448,458,10
34 Ave & 13 St,447,443,-4
Madison St & Forest Ave,442,429,-13
Douglass St & 3 Ave,441,454,13
Lorimer St & Broadway,434,442,8
Putnam Ave & Knickerbocker Ave,432,390,-42
27 Ave & 3 St,427,427,0
Myrtle Ave & Linden St,426,415,-11
Willoughby Ave & Myrtle Ave,426,441,15
Union St & Nevins St,424,441,17
Lexington Ave & E 128 St,418,402,-16
Central Ave & Woodbine St,413,399,-14
Irving Ave & Palmetto St,413,415,2
Willis Ave & E 141 St,411,399,-12
Pioneer St & Van Brunt St,410,410,0
Waterbury St & Stagg St,406,404,-2
Knickerbocker Ave & Halsey St,404,408,4
N 15 St & Wythe Ave,402,408,6
48 Ave & 30 Pl,400,403,3
Adam Clayton Powell Blvd & W 132 St,400,411,11
Stagg St & Morgan Ave,395,401,6
Withers St & Kingsland Ave,395,402,7
3 Ave & Carroll St,392,494,102
Knickerbocker Ave & Hancock St,391,365,-26
Stanhope St & Fairview Ave,391,359,-32
49 Ave & 21 St,385,379,-6
Central Ave & Flushing Ave,384,396,12
Flushing Ave & Woodward Ave,380,364,-16
Norman St & Wyckoff Ave,377,386,9
Carroll St & Washington Ave,374,355,-19
Jefferson Ave & Evergreen Ave,374,374,0
Bushwick Ave & Stagg St,370,377,7
Montgomery St & Franklin Ave,367,365,-2
Pacific St & Classon Ave,364,363,-1
Madison St & Cypress Ave,361,342,-19
Sigourney St & Columbia St,357,376,19
Cedar St & Evergreen Ave,349,352,3
Morgan Ave & Maspeth Ave,347,367,20
Lexington Ave & E 127 St,347,353,6
Knickerbocker Ave & Cooper St,344,328,-16
Broadway & Furman Ave,340,331,-9
10 St & 2 Ave,339,341,2
Central Ave & Covert St,339,348,9
Madison St & Woodward Ave,337,329,-8
Lincoln Ave & E 134 St,334,344,10
Commerce St & Van Brunt St,328,344,16
Division Ave & Marcy Ave,322,346,24
Menahan St & Wyckoff Ave,322,322,0
3 St & Hoyt St,321,328,7
Harman St & Seneca Ave,316,315,-1
Bushwick Ave & McKibbin St,316,331,15
Eldert St & Bushwick Ave,314,314,0
Pioneer St & Richards St,309,319,10
34 Ave & 21 St,309,310,1
Halsey St & Evergreen Ave,305,313,8
Morningside Dr & Amsterdam Ave,305,284,-21
Harrison Pl & Porter Ave,305,323,18
Menahan St & Seneca Ave,299,301,2
Menahan St & Central Ave,299,308,9
Madison St & Seneca Ave,298,297,-1
St Mary's St & Jackson Ave,298,307,9
Central Ave & Decatur St,296,285,-11
Green St & McGuinness Blvd,292,298,6
Onderdonk Ave & Gates Ave,290,292,2
Greene Ave & Grandview Ave,289,286,-3
Hart St & Wyckoff Ave,285,288,3
Moffat St & Bushwick,280,289,9
Myrtle Ave & Grove St,278,274,-4
Centre St & Seneca Ave,276,273,-3
Dwight St & Van Dyke St,273,290,17
E 149 St & Eagle Ave,273,281,8
Convent Ave & W 135 St,273,275,2
Columbia St & W 9 St,269,282,13
Bushwick Ave & Furman Ave,264,227,-37
Linden St & Knickerbocker Ave,262,262,0
21 St & 38 Ave,258,256,-2
21 St & 43 Ave,258,264,6
St. Ann's Ave & E 144 St,255,251,-4
Richards St & Delavan St,250,264,14
Cypress Ave & Palmetto St,248,230,-18
Clinton St & Centre St,240,246,6
Willoughby Ave & Onderdonk Ave,234,238,4
Wilson Ave & Moffat St,229,234,5
Morris Ave & E 142 St,227,230,3
Suydam St & St. Nicholas Ave,227,232,5
Onderdonk Ave & Dekalb Ave,226,217,-9
Henry St & Bay St,224,227,3
1 Ave & E 16 St,221,268,47
Southpoint Park,221,206,-15
Woodward Ave & Harman St,213,213,0
Madison St & Evergreen Ave,212,215,3
1 Ave & E 18 St,195,215,20
Wolcott St & Dwight St,192,206,14
Henry St & W 9 St,188,189,1
Stewart Ave & Johnson Ave,188,203,15
Columbia St & Lorraine St,179,206,27
W 54 St & 9 Ave,176,164,-12
Menahan St & Onderdonk Ave,176,161,-15
47 Ave & Skillman Ave,175,183,8
Fairview Ave & Linden St,172,171,-1
Metropolitan Ave & Stewart Ave,172,157,-15
Somers St & Broadway,171,160,-11
Hancock St & Wyckoff Ave,167,167,0
11 St & 35 Ave,162,155,-7
Willis Ave & E 143 St,161,161,0
E 135 St & St Ann's Ave,159,164,5
E 138 St & Willow Ave,157,157,0
E 144 St & Brook Ave,157,157,0
St. Ann's Av & Bruckner Blvd,157,158,1
White St & Johnson Ave,151,176,25
Brook Ave & E 141 St,151,151,0
Frost St & Debevoise Ave,138,158,20
Metropolitan Ave & Vandervoort Ave,128,116,-12
Edgecombe Ave & W 145 St,126,138,12
E 138 St & Grand Concourse,125,127,2
E 128 St & 3 Ave,119,120,1
Cypress Ave & George St,119,125,6
W 148 St & Amsterdam Ave,119,122,3
Brook Ave & E 138 St,117,123,6
E 134 St & Walnut Ave,114,108,-6
E 142 St & 3 Ave,110,104,-6
Stephen St & Seneca Ave,106,105,-1
Railroad Ave & Kay Ave,102,100,-2
E 138 St & Cypress Ave,88,84,-4
E 147 St & Bergen Ave,83,91,8
Hamilton Pl & W 140 St,70,70,0
E 133 St & Cypress Pl,61,61,0
E 138 St & Canal St W,58,51,-7
E 141 St & St Ann's Ave,57,65,8
Propsect Ave & E 151 St,49,60,11
St. Nicholas Terrace & Convent Ave,49,51,2
Southern Blvd & E 142 St,41,42,1
Westchester Ave & Jackson Ave,37,42,5
E 141 St & Jackson Ave,30,34,4
Walnut Ave & E 136 St,27,28,1
Wales Ave & E 147 St,13,16,3
